batch_idx,grad_type,layer,num_channels,bits_mean,bits_min,bits_max,step_mean,step_min,step_max,range_mean,grad_mean,grad_median,grad_sum,grad_abs_mean,grad_abs_max,frac_grad_positive,frac_grad_negative,frac_push_bits_up,frac_push_bits_down,sens_mean,sens_max
4,prior,decoder.layers.1.blocks.0.intermediate.dense,3072,8.0,8.0,8.0,0.0002630599192343652,8.063210771069862e-06,0.00047505577094852924,0.0673433393239975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.119690842056043e-20,8.11969213452575e-20
4,prior,decoder.layers.1.blocks.0.output.dense,768,8.0,8.0,8.0,0.0001981466921279207,6.935012061148882e-05,0.00031728128669783473,0.050725553184747696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11969213452575e-20,1.691560261035601e-18
4,prior,decoder.layers.1.blocks.1.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.0021861321292817593,3.281384124420583e-07,0.004653491545468569,0.5596498250961304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551538607149728e-20,7.551538607149728e-20
4,prior,decoder.layers.1.blocks.1.attention.self.continuous_position_bias_mlp.2,12,8.0,8.0,8.0,0.002980488119646907,0.0015622940845787525,0.006727800704538822,0.7630049586296082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551538607149728e-20,7.551538607149728e-20
4,prior,decoder.layers.1.blocks.1.attention.self.query,768,8.0,8.0,8.0,0.0003155310987494886,0.00021725008264183998,0.000544062873814255,0.08077596127986908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551538607149728e-20,1.6798975313864861e-18
4,prior,decoder.layers.1.blocks.1.attention.self.key,768,8.0,8.0,8.0,0.0003006505430676043,0.0001807776279747486,0.0006291581084951758,0.0769665390253067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551538607149728e-20,1.6798975313864861e-18
4,prior,decoder.layers.1.blocks.1.attention.self.value,768,8.0,8.0,8.0,0.00030872158822603524,0.00019452381820883602,0.00040570879355072975,0.07903272658586502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551538607149728e-20,1.6798975313864861e-18
4,prior,decoder.layers.1.blocks.1.attention.output.dense,768,8.0,8.0,8.0,0.0002695083385333419,5.065627192379907e-05,0.00039672490675002337,0.06899413466453552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551538607149728e-20,1.6798975313864861e-18
4,prior,decoder.layers.1.blocks.1.intermediate.dense,3072,8.0,8.0,8.0,0.000259443826507777,6.306521754595451e-06,0.0004725700418930501,0.0664176195859909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551538607149728e-20,7.551538607149728e-20
4,prior,decoder.layers.1.blocks.1.output.dense,768,8.0,8.0,8.0,0.00019331988005433232,6.841866706963629e-05,0.00031410035444423556,0.04948988929390907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551538607149728e-20,1.6798975313864861e-18
4,prior,decoder.layers.1.blocks.2.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.0017169630154967308,3.1741626571601955e-07,0.005121043883264065,0.4395425319671631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.114880947775495e-20,7.114880947775495e-20
4,prior,decoder.layers.1.blocks.2.attention.self.continuous_position_bias_mlp.2,12,8.0,8.0,8.0,0.002715245820581913,0.0011969534680247307,0.011315735056996346,0.6951029300689697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.114880947775495e-20,7.114880947775495e-20
4,prior,decoder.layers.1.blocks.2.attention.self.query,768,8.0,8.0,8.0,0.00032242017914541066,0.0002346955589018762,0.0006545673822984099,0.08253956586122513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.114880947775495e-20,1.6984744569807786e-18
4,prior,decoder.layers.1.blocks.2.attention.self.key,768,8.0,8.0,8.0,0.000304806133499369,0.00019092249567620456,0.0006762554403394461,0.07803037017583847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.114880947775495e-20,1.6984744569807786e-18
