batch_idx,grad_type,layer,num_channels,bits_mean,bits_min,bits_max,step_mean,range_mean,grad_mean,grad_abs_mean,grad_abs_max,frac_push_bits_up,frac_push_bits_down,sum_g_over_s,mean_g_over_s,abs_mean_g_over_s,sens_mean,sens_max
0,likelihood,encoder.layers.0.blocks.5.intermediate.dense,768,8.0,8.0,8.0,0.00017868938448373228,0.045744482427835464,-2.709109139686916e-06,0.0001359772140858695,0.001708805444650352,0.5,0.5,-5.035506725311279,-0.006556649226695299,0.447796106338501,3.867843935610999e-17,3.867844597355489e-17
0,likelihood,encoder.layers.0.blocks.5.output.dense,192,8.0,8.0,8.0,0.0001851031993282959,0.04738641902804375,-3.981731424573809e-05,0.00033951635123230517,0.003364833304658532,0.5052083134651184,0.4947916567325592,-65.93036651611328,-0.34338733553886414,2.05210280418396,3.867844597355489e-17,4.84643982694296e-16
0,likelihood,encoder.layers.0.blocks.6.attention.self.continuous_position_bias_mlp.0,512,8.0,8.0,8.0,0.0021809234749525785,0.5583164095878601,-2.667930857569445e-06,6.147252133814618e-05,0.0004646925663109869,0.48828125,0.49609375,-11.759727478027344,-0.022968217730522156,0.15576231479644775,3.7904304181878763e-17,3.7904310799323664e-17
0,likelihood,encoder.layers.0.blocks.6.attention.self.continuous_position_bias_mlp.2,3,8.0,8.0,8.0,0.003754354314878583,0.9611147046089172,0.0010918396292254329,0.0017889809096232057,0.0024375782813876867,0.6666666865348816,0.3333333432674408,1.1325509548187256,0.3775169849395752,0.5206416249275208,3.7904310799323664e-17,3.7904310799323664e-17
0,likelihood,encoder.layers.0.blocks.6.attention.self.query,192,8.0,8.0,8.0,0.0003769601753447205,0.09650180488824844,-1.2265503755770624e-05,0.0010993590112775564,0.005691922269761562,0.4895833432674408,0.5104166865348816,-8.983333587646484,-0.04678819701075554,3.0033533573150635,3.7904310799323664e-17,4.757542660337438e-16
0,likelihood,encoder.layers.0.blocks.6.attention.self.key,192,8.0,8.0,8.0,0.0003680072259157896,0.09420984983444214,0.0001433597062714398,0.001158999977633357,0.007298666052520275,0.53125,0.46875,73.33104705810547,0.3819325268268585,3.1647377014160156,3.7904310799323664e-17,4.757542660337438e-16
0,likelihood,encoder.layers.0.blocks.6.attention.self.value,192,8.0,8.0,8.0,0.00035008738632313907,0.0896223708987236,0.00035657896660268307,0.0034043826162815094,0.013584376312792301,0.5104166865348816,0.4895833432674408,216.8753662109375,1.1295591592788696,9.872726440429688,3.7904310799323664e-17,4.757542660337438e-16
0,likelihood,encoder.layers.0.blocks.6.attention.output.dense,192,8.0,8.0,8.0,0.00026573496870696545,0.06802815198898315,-6.105926149757579e-05,0.0016432596603408456,0.013892027549445629,0.4739583432674408,0.5260416865348816,-53.284088134765625,-0.2775212824344635,5.9934821128845215,3.7904310799323664e-17,4.757542660337438e-16
0,likelihood,encoder.layers.0.blocks.6.intermediate.dense,768,8.0,8.0,8.0,0.0003203103842679411,0.08199945837259293,4.29648207500577e-05,0.0004927486297674477,0.004421189893037081,0.5169270634651184,0.4830729067325592,76.61954498291016,0.09976503252983093,1.3968191146850586,3.7904304181878763e-17,3.7904310799323664e-17
0,likelihood,encoder.layers.0.blocks.6.output.dense,192,8.0,8.0,8.0,0.000253584876190871,0.06491772830486298,-1.4802499208599329e-05,0.0008929941686801612,0.012156960554420948,0.5,0.5,-41.399436950683594,-0.21562206745147705,4.036938190460205,3.7904310799323664e-17,4.757542660337438e-16
